Date,Location,Route Name,Grade,# RP Tries,Type,Wall angle,Hold Types,Length,Laps,Crux location,Continuity,Other Notes
2021.02.25,NE Arete,Black,V4x,2,B,90-130,"Rails, slopers, jugs",14,1,End,Continuous,"Still hard finish, hand match helped"
2021.02.25,North Outside,Black  ,V4 ,20%,B,90,Slopers,16,1,Early,Not Continuous,"REDEMPTION, hard start"
2021.02.25,Southeast area,Yellow (#1),V2x,1,B,95,Jugs,14,1,Early,Continuous,
2021.02.25,Southeast area,Pink (#2),V0x,1,B,95,Jugs,14,1,Early,Continuous,
2021.02.25,South Overhang,Green (#4),V4,40%,B,125,Jugs,16,1,Middle,Continuous,Tough foot-swing move
2021.02.25,South Overhang,Pink (#8),V3x,1,B,120,Slopy jugs,16,1,Middle,Continuous,
2021.02.25,North Outside,Green  ,V5,20%,B,90,Slopers,16,1,Early,Continuous,
2021.02.25,Bouldering Floor Tall Wall - N,Yellow  ,V5,75%,B,85,Slopers and volumes,14,1,End,Continuous,Interesting
2021.02.25,East Outside (Slab Wall),Black,V6,20%,B,85,Slopers and crimps,14,1,Early,Continuous,Murdered my leg
2021.02.25,Inside West,Blue,V2x,1,B,110,Jugs,14,1,None,None,
2021.02.25,N Inside,Green,V2x,1,B,90-110,Slopers,14,1,None,None,
2021.02.25,N Inside,Black,V1x,1,B,90,Jugs,14,1,None,None,
2021.02.25,N Inside,Purple,V3,80%,B,90-110,Crimps and huecos,14,1,End,Not Continuois,"End is a little hard, though I was tired"
2021.02.20,NE Arete,Black,V4,90%,B,90-130,"Rails, slopers, jugs",14,1,End,Continuous,Fun but continuous
2021.02.20,Iniside North,Blue?,V2x,1,B,90-100,Jugs,14,1,None,None,
2021.02.20,Iniside North,Tan?,V1x,1,B,90-100,Jugs,14,1,None,None,
2021.02.20,Arch,Green,V4,40%,B,90-180,Slopers and jugs,16,1,Middle,Continuous,"Projecting this a little since I was so tired, pretty consistently hard"
2021.02.20,Desk Wall,Blue,V3x,5,B,90,Slopers and pinches,14,1,Middle,Not Continuois,"Had to keep my left foot wide, and pop to pinch and match"
2021.02.20,Bouldering Floor Tall Wall - N,Red (#46),V4x,3,B,85,Slopers and crimps,16,1,Early,Not Continuous,
