Date,Location,Route Name,Grade,# RP Tries,Type,Wall angle,Hold Types,Length,Laps,Crux location,Continuity,Other Notes
2020.09.20,Cheyenne Canyon - Pinnacle,The Men Arete,5.9-x,1,TR,85,Crimps and slopers,70,1,End,Continuous ,"Fun, slabby"
2020.09.20,Cheyenne Canyon - Pinnacle,Corrugation Corner,5.10a,75%,TR,85-95,Crimps and slopers,70,1,Middle,Continuous ,"Middle is a little tough, I think I could send it fresh"
2020.09.11,Ute Valley - North Side - Tie-Breaker Boulder,Northwest Face,V1,15%,B,90,Crimps,14,1,Beginning,Continuous ,Terrible sit start
2020.09.11,Ute Valley - North Side - Tie-Breaker Boulder,Cries and Crimpers,V1,15%,B,90,Crimps,12,1,Beginning,Continuous ,Terrible sit start
2020.09.11,Ute Valley - Hidden Boulder,Easy Crimpers,V1x,1,B,90,Crimps and Jugs,10,1,Beginning,Easy top out,
2020.09.11,Ute Valley - Hidden Boulder,Easy Crimpers,V0x,1,B,90,Crimps and Jugs,10,1,None,None,Stand start
2020.08.22,Cheyenne Canyon - Graduation Boulder,Graduation Crack,V1x,1,B,100,"Crimps, slopers and rails",14,1,End,End,"Fun, did same thing I tried last time, went right up, left hand high in crack prior to throwing right hand high and to horn"
2020.08.22,Cheyenne Canyon - Graduation Boulder,Route 2,V1x,5,B,90,Crimps,12,1,Start,Start,Sit start = hard
2020.08.22,Cheyenne Canyon - Graduation Boulder,Route 3 ,V0x,1,B,90,Crimps,12,1,None,None,Warmup and cooldown
2020.08.22,Cheyenne Canyon - Graduation Boulder,Graduation Traverse,V0+,1,B,90,Crimps,25,1,Around arete,Harder toward end,"Got to route 3-4 area, would like to get to West wall"
2020.08.22,Cheyenne Canyon - Graduation Boulder,Route 4,V2+,40%,B,90,Crimps,13,1,Middle,Continuous ,This is tough in the middle to end
2020.08.12,Cheyenne Canyon - Graduation Boulder,Graduation Traverse,V0+x,1,B,90,Crimps,25,1,Around arete,Harder toward end,
2020.08.12,Cheyenne Canyon - Graduation Boulder,Graduation Crack,V1,80%,B,100,"Crimps, slopers and rails",14,1,End,End,REDEMPTION
2020.08.12,Cheyenne Canyon - Graduation Boulder,Route 1.5,V1x,2,B,90,Crimps,10,1,Beginning,Beginning,Sit start
2020.08.12,Cheyenne Canyon - Graduation Boulder,Route 2,V2,50%,B,90,Crimps,12,1,Middle,Middle,Sit start hard
2020.08.09,Cheyenne Canyon - Company Wall,Cat Don't Piss On My Rope,5.9+x,1,TR,85,Crimps,45,1,Middle,Continuous ,Fun
2020.06.21,Ute Valley - Vnaughts - Pi Boulder,Pi.1,V0x,6,B,95,Crimps,12,1,End,End,"Fund but hard. Had to go wide left and low to start with foot, and then lock off with left hand to throw right to crimp for a bump and then to top"
2020.06.21,Ute Valley - Vnaughts - Delta Boulder,Delta.2,V0x,1,B,80,Crimps,12,1,Early,None,"Start on the large right-facing edge and head straight up, through pockets up high. Watch out for the tree when topping out."
2020.06.21,Ute Valley - Vnaughts - Gamma Boulder,Gamma.1,V0x,1,B,80,Rail and crimps,12,1,None,None,"Fun, good warm-up"
2020.06.21,Ute Valley - Vnaughts - Gamma Boulder,Gamma.2,V0x,1,B,80,Rail and crimps,12,1,None,None,"Fun, good warm-up"
2020.06.21,Ute Valley - Vnaughts - Beta Boulder,Beta.2,V0x,1,B,80,Rail,12,1,None,None,Easy
2020.06.21,Ute Valley - Vnaughts - Beta Boulder,Beta.1,V0x,1,B,80,Crimps,12,1,Early,None,"This is a fun sit-start, need to head back out and do this when I am fresh"
2020.06.21,Ute Valley - Vnaughts - Lambda Boulder,Lambda.1,V0x,1,B,95,Arete and jugs,10,1,End,End,Bad feet and tough whale finish
2020.06.14,Rampart Range - Other Side - Militant Whale,Bovine Fecies,V0-x,3,B,95,"Rails, Crimps, Jugs",14,1,Middle,Middle,"Pretty hard for ""v-easy"""
2020.06.14,Rampart Range - Other Side - Militant Whale,STP2,V0-x,1,B,95,Jugs,10,1,None,None,
2020.06.14,Rampart Range - Other Side - Militant Whale,Minnow,V0x,1,B,95,Crimps and Jugs,10,1,None,None,
2020.06.14,Rampart Range - Other Side - Militant Whale,Girikin,V2,60%,B,90-110,Crimps and Jugs,10,1,Middle,Middle,"Huge left hand throw, I was throwing too far left, want more tries "
2020.06.14,Rampart Range - Other Side - Punk's Not Dead,Underclass Hero,V0x,3,B,85,Crimps,10,1,Middle,Middle,Kept popping cobbles
2020.06.14,Rampart Range - Other Side - Punk's Not Dead,Working Class Punk,V0x,3,B,85,Crimps and sidepulls,10,1,Middle,Middle,"Interesting crack, sidepull problem on tough-to-trust foot cobbles"
2020.06.14,Rampart Range - Other Side - Punk's Not Dead,The Bum,V0x,1,B,85,Crimps and sidepulls,12,1,End,End,"Flashed, but really expected feet to pop in a bad spot"
2020.06.14,Rampart Range - Other Side - Punk's Not Dead,Ska Lives!,V0x,1,B,85,Arete and Crimps,10,1,End,End,
2020.06.14,Rampart Range - Other Side - Antiflag,Drank,V0,40%,B,130,Crimps and Jugs,8,1,Middle,Continuos,Was worked before I even started
2020.06.13,Rampart Range - Emanon - Blockhead,Frog,V1x,6,B,92,Crimps and sidepulls,10,1,Early,Early,Tough squishy sit start
2020.06.13,Rampart Range - Emanon - Blockhead,Notintennies,V0-x,1,B,85,Jugs and rails,10,1,None,None,
2020.06.13,Rampart Range - Emanon - Blockhead,Spider ,V0x,1,B,90,Crimps and Slopers,10,1,Early,Early,Fun sit start problem
2020.06.13,Rampart Range - Emanon - Blockhead,Shake The Tree,V0x,1,B,90,Crimps and Slopers,10,1,Early,Early,Fun sit start problem
2020.06.13,Rampart Range - Emanon - Shadowboxing,TKO,V1,70%,B,90-110,Crimps ,14,1,Middle,Middle,"Fun, tried right heel hooks and left drop knee, want more tries"
2020.06.10,Garden of The Gods - Snake Pit Area - Mongoose Block,Get Your Training Wheels,V0x,1,B,95,Crimps and Jugs,16,1,None,Continuos,Very fun
2020.06.10,Garden of The Gods - Snake Pit Area - Mongoose Block,Off the Rails,V0+x,2,B,90-110,Crimps and Jugs,16,1,Early,None,"Early crux, lots of fun"
2020.06.10,Garden of The Gods - Snake Pit Area - Mongoose Block,Mighty Mongoose,V0x,1,B,,Crimps and Jugs,16,1,Early,None,
2020.06.10,Garden of The Gods - Snake Pit Area - Mongoose Block,Cool Hand Look (My own),V0x,1,B,90-110,Crimps and Jugs,16,1,Early,None,"Early Crux, "
2020.06.10,Garden of The Gods - Snake Pit Area - Mongoose Block,Far left North Face ,V0x,1,B,90-95,Crimps and Jugs,14,1,Early,None,"Early Crux, weird starting hands, tried right on obvious hold and left on vertical rail"
2020.06.10,Garden of The Gods - Snake Pit Area - Arch Block,South Arete,V1-,1,B,90,Crimps and slopers,10,1,Early,None,Tough sit start
2020.06.10,Garden of The Gods - Snake Pit Area - Arch Block,West Crack,V0+,1,B,90,Crack and crimps,10,1,Early,None,Move to chockstone is hardest ... lots of fun
2020.06.10,Garden of The Gods - Snake Pit Area - Arch Block,North Arete,V0,1,B,80,Crimps and Jugs,12,1,None,None,easy
2020.06.10,Garden of The Gods - Snake Pit Area - Arch Block,West Face Left,V2,70%,B,95,Crimps,14,1,Early,Continuos,"Have first move down, get to hand match, move both feet (left to right and right up) and through to sharp left Jug, adjust feet and big right throw"
2020.06.10,Garden of The Gods - Snake Pit Area - Arch Block,South Face Alt,V3,5%,B,90,Slopers and Crimps,10,1,Early,Early,"Super tough, squishy undercling start"
2020.06.10,Garden of The Gods - Snake Pit Area - Arch Block,Downclimb North Slab,V-easy,1,B,60,Crimps,10,1,None,None,
2020.05.25,Castlewood Canyon FountainBleau - Big Gigantic Boulder,Graham Cracker,V0x,1,B,85,"Cobbles, crimps",16,1,None,None,V-super easy
2020.05.25,Castlewood Canyon FountainBleau - Big Gigantic Boulder,Mr. Tree,V1x,2,B,90,Crimps,12,1,Early,None,Hard start but easy
2020.05.25,Castlewood Canyon FountainBleau - Big Gigantic Boulder,Big Gigantic Traverse,V0x,1,B,80-90,"Cobbles, crimps",40,1,End,End,Lots of fun
